,price,area,locality,bedroom_num,bathroom_num,balcony_num
455,94.55,1060,Mira Road,2,2,0
456,18.97,345,Dombivali,1,1,0
457,181.0,1110,Airoli,2,2,0
458,90.0,830,Thane,2,2,0
459,125.0,1310,Kamothe,2,2,0
460,65.0,680,Kamothe,1,1,0
461,60.0,730,Kamothe,1,2,0
462,114.0,1605,Kalamboli,3,3,0
463,53.0,667,Kalamboli,1,1,0
464,89.0,850,Koper Khairane,2,2,0
465,47.0,700,Taloje,2,2,0
466,29.0,690,Taloja,1,1,0
467,49.0,1050,Taloja,2,2,0
468,49.0,1050,Taloja,2,2,0
469,46.0,802,Taloja,2,2,0
470,33.0,605,Taloja,1,2,0
471,35.0,672,Taloje,1,2,0
472,51.0,520,Kalyan,1,1,0
473,58.0,790,Thane,2,2,0
474,55.0,933,Taloje,2,2,0
475,41.0,720,Taloja,1,1,0
476,35.0,720,Taloje,1,2,0
477,62.0,1020,Taloja,2,2,0
478,155.0,950,Malad,2,2,0
479,78.0,1110,Vasai,2,2,0
480,60.0,715,Dombivali,1,1,0
481,64.0,990,Dombivli,2,1,0
482,65.0,700,Kalamboli,1,1,0
483,110.0,1185,Kharghar,2,2,0
484,140.0,2200,Kharghar,3,3,0
485,90.0,950,Thane,2,2,0
486,175.0,2400,Kharghar,3,3,0
487,155.0,1600,Kharghar,3,3,0
488,110.0,1800,Kharghar,3,3,0
489,115.0,1700,Kharghar,3,3,0
490,179.0,850,Sion,2,2,0
491,105.0,505,Borivali,1,2,0
492,155.0,580,Dahisar,2,2,0
493,260.0,1000,Borivali,3,3,0
494,721.0,1500,Juhu,3,3,0
495,99.0,1175,Kalyan,2,2,0
496,75.9,980,Kasaradavali Thane,2,2,0
497,36.0,650,Vasai,1,1,0
498,30.0,650,Vasai,1,1,0
499,70.0,1050,Virar,2,2,0
500,78.0,1110,Vasai,2,2,0
501,32.5,1000,Taloja,1,1,0
502,48.0,640,Dombivli,1,2,0
503,47.25,630,Dombivli,1,2,0
504,180.0,2075,Vasai,3,3,0
505,67.0,895,Dombivli,2,2,0
506,49.99,1000,Ambernath,2,1,0
507,75.0,980,Vasai,2,2,0
508,68.0,700,Mira Road,1,2,0
509,75.0,1160,Kalamboli,2,2,0
510,85.0,980,Panvel,2,2,0
511,37.53,790,Bhiwandi,1,2,0
512,73.0,400,Goregaon,1,1,0
513,95.0,650,Kalamboli,2,2,0
514,52.72,1102,Kharghar,1,2,0
515,48.0,640,Dombivli,1,2,0
516,67.5,900,Dombivli,2,2,0
517,67.12,895,Dombivli,2,2,0
518,49.88,665,Dombivli,1,2,0
519,49.5,660,Dombivli,1,2,0
520,76.0,650,Thane,1,2,0
521,48.75,650,Dombivli,1,2,0
522,31.0,655,Taloja,1,2,0
523,93.45,460,Kandivali,1,2,0
524,46.0,570,Dombivli,1,1,0
525,310.0,1050,Andheri,2,2,0
526,24.5,640,Ambernath,1,1,0
527,85.0,1050,Koper Khairane,2,2,0
528,220.0,1700,Koper Khairane,3,3,0
529,165.0,1600,Ghansoli,3,3,0
530,350.0,1600,Koper Khairane,3,3,0
531,190.0,1100,Ghansoli,2,2,0
532,270.0,1750,Koper Khairane,3,3,0
533,220.0,1500,Ghansoli,3,3,0
534,175.0,1100,Koper Khairane,2,2,0
535,85.0,640,Koper Khairane,1,1,0
536,195.0,1250,Vashi,3,2,0
537,225.0,1500,Koper Khairane,3,3,0
538,138.0,480,Santacruz,1,2,0
539,280.0,950,Santacruz,2,2,0
540,144.56,1447,Thane,2,2,2
541,214.72,2045,Thane,3,3,1
542,151.75,1519,Thane,2,2,2
543,157.44,1576,Thane,2,2,2
544,164.14,1643,Thane,2,2,2
545,171.13,1713,Thane,2,2,2
546,151.45,1516,Thane,2,2,2
547,200.34,1908,Thane,3,3,2
548,80.0,480,Vikroli,1,2,0
549,57.0,1200,Vasai,2,2,0
550,75.0,1600,Vasai,3,3,0
551,34.5,750,Naigaon,1,2,0
552,16.54,488,Palghar,1,2,0
553,95.0,1074,Mira Road,2,2,0
554,36.5,750,Vasai,1,2,0
555,55.0,1250,Vasai,2,2,0
556,36.0,760,Naigaon,1,1,0
557,17.5,465,Palghar,1,1,0
558,12.0,274,Palghar,1,1,0
559,19.05,500,Saphale,1,1,0
560,48.5,750,Vasai,1,2,0
561,13.0,368,other,1,1,0
562,17.15,465,Palghar,1,1,0
563,66.0,1100,Nalasopara,2,2,0
564,37.8,700,Nalasopara,1,2,0
565,91.5,1074,Mira Road,2,2,0
566,64.5,775,Mira Road,1,2,0
567,115.0,1300,Mira Road,2,2,0
568,66.0,1100,Nalasopara,2,2,0
569,37.8,700,Nalasopara,1,2,0
570,48.5,750,Vasai,1,2,0
571,37.66,600,Bhiwandi,1,1,0
572,51.45,800,Bhiwandi,2,2,0
573,38.0,650,Kalyan,1,1,0
574,23.58,655,Vevoor,1,1,0
575,69.0,800,Mira Road,1,2,0
576,65.25,1074,Vasai,2,2,0
577,72.0,1350,Virar,3,3,0
578,21.2,585,Vevoor,1,1,0
579,32.58,905,Vevoor,2,1,0
580,20.85,600,Palghar,1,1,0
581,12.0,274,Palghar,1,1,0
582,16.0,456,other,1,1,0
583,18.8,540,Palghar,1,1,0
584,130.0,1200,Mira Road,2,2,0
585,75.5,1650,Nalasopara,3,3,0
586,55.0,1074,Vasai,2,2,0
587,90.0,1550,Vasai,3,3,0
588,63.0,780,Mira Road,1,2,0
589,34.0,750,Nalasopara,1,2,0
590,69.45,800,Mira Road,1,2,0
591,109.5,1150,Mira Road,2,2,0
592,37.8,775,Vasai,1,2,0
593,70.1,750,Mira Road,1,2,0
594,33.5,715,Virar,1,2,0
595,120.0,1150,Mira Road,2,2,0
596,71.0,1400,Virar,3,3,0
597,69.0,800,Mira Road,1,2,0
598,65.25,1074,Vasai,2,2,0
599,72.0,1350,Virar,3,3,0
600,105.0,600,Thane,2,2,0
601,135.0,700,Thane,2,2,0
602,175.0,950,Thane,3,3,0
603,560.0,1450,Dadar,3,3,0
604,199.0,872,Andheri,2,2,0
605,106.0,517,Jogeshwari,1,2,0
606,99.0,505,Jogeshwari,1,2,0
607,91.0,480,Jogeshwari,1,2,0
608,99.0,505,Jogeshwari,1,2,0
609,91.0,480,Jogeshwari,1,2,0
610,150.0,704,Jogeshwari,2,2,0
611,170.0,777,Jogeshwari,2,2,0
612,99.0,480,Jogeshwari,1,2,0
613,145.0,687,Jogeshwari,2,2,0
614,175.0,780,Jogeshwari,2,2,0
615,100.0,523,Jogeshwari,1,2,0
616,101.0,524,Chembur,2,2,0
617,171.78,999,Borivali,2,2,0
618,275.0,1281,Borivali,3,2,0
619,181.0,918,Kandivali,2,2,0
621,482.24,2168,Kandivali,4,2,0
622,271.87,1450,Kandivali,3,3,0
623,162.56,850,Kandivali,2,2,0
624,162.56,850,Kandivali,2,2,0
625,635.0,3800,Nerul,4,4,0
626,67.0,440,Bhandup,1,2,0
627,34.0,535,Virar,1,2,0
628,140.0,750,Thane,2,2,0
629,214.0,926,Andheri,2,2,0
630,259.0,1102,Andheri,3,3,0
631,115.0,600,Thane,2,2,0
632,133.0,720,Thane,2,2,0
633,170.0,783,Jogeshwari,2,2,0
634,185.0,783,Jogeshwari,2,2,0
635,138.0,592,Powai,1,2,0
636,49.0,795,Dombivali,2,2,0
637,85.0,502,Vikhroli,1,1,0
638,78.0,530,Vikhroli,1,1,0
639,260.0,1017,Borivali,3,3,0
640,85.0,580,Vikhroli,1,1,0
641,75.0,509,Vikhroli,1,1,0
642,128.0,681,Chembur,1,2,0
